chr1	28382	30382
chr1	52413	54413
chr1	520579	522579
chr1	539933	541933
chr1	713211	715211
chr1	751923	753923
chr1	762296	764296
chr1	770274	772274
chr1	772484	774484
chr1	804326	806967
chr1	807251	809596
chr1	809787	812776
chr1	813096	815096
chr1	821944	826989
chr1	836265	838265
chr1	839589	841589
chr1	842644	844644
chr1	845198	850196
chr1	855930	857930
chr1	865588	867588
chr1	875225	877225
chr1	881730	890785
chr1	890854	892854
chr1	895949	897949
chr1	903052	905052
chr1	909511	911511
chr1	914947	916947
chr1	918575	920575
chr1	927459	929459
chr1	933463	935463
chr1	939436	941436
chr1	947816	949816
chr1	955166	957166
chr1	957379	959379
chr1	959717	961717
chr1	963777	965777
chr1	974145	976145
chr1	985308	987308
chr1	987660	992421
chr1	993531	997033
chr1	1000667	1002667
chr1	1008387	1010387
chr1	1014319	1016319
chr1	1021251	1023251
chr1	1027898	1031460
chr1	1033894	1035894
chr1	1045293	1048918
chr1	1049013	1056682
chr1	1058009	1060009
chr1	1061098	1064939
chr1	1065155	1067155
chr1	1067248	1069248
chr1	1070600	1072600
chr1	1073268	1079639
chr1	1079972	1086590
chr1	1087378	1090496
chr1	1091647	1093647
chr1	1094009	1096009
chr1	1100683	1102683
chr1	1108259	1114275
chr1	1116650	1118650
chr1	1123621	1125621
chr1	1133554	1135554
chr1	1140268	1142268
chr1	1146703	1148703
chr1	1152597	1154597
chr1	1157448	1159448
chr1	1161477	1163477
chr1	1164332	1166332
chr1	1174287	1176287
chr1	1184072	1186976
chr1	1187021	1189021
chr1	1189282	1191282
chr1	1191872	1193872
chr1	1194351	1196351
chr1	1199653	1207223
chr1	1208142	1210142
chr1	1213473	1219600
chr1	1220590	1222590
chr1	1223738	1226269
chr1	1229616	1231616
chr1	1236526	1238912
chr1	1241401	1243401
chr1	1245847	1252036
chr1	1253594	1258827
chr1	1271300	1273300
chr1	1288859	1290859
chr1	1293964	1295964
chr1	1296098	1298588
chr1	1306367	1308367
chr1	1309306	1312862
chr1	1316669	1324394
chr1	1324836	1327308
chr1	1333779	1335779
chr1	1341602	1343602
chr1	1346517	1348517
chr1	1355080	1357080
chr1	1357497	1360694
chr1	1361393	1363393
chr1	1364081	1366081
chr1	1370925	1372925
chr1	1379094	1382981
chr1	1383667	1392635
chr1	1393927	1399809
chr1	1402191	1404191
chr1	1405120	1408297
chr1	1408327	1413899
chr1	1414135	1416135
chr1	1416491	1424155
chr1	1424331	1429641
chr1	1429840	1434823
chr1	1437860	1441975
chr1	1443185	1445185
chr1	1447285	1449285
chr1	1450307	1452307
chr1	1453369	1455369
chr1	1455905	1457905
chr1	1458261	1460261
chr1	1461508	1463508
chr1	1463707	1465707
chr1	1472435	1474435
chr1	1479394	1482419
chr1	1483176	1485176
chr1	1485472	1487472
chr1	1489407	1491407
chr1	1501712	1504412
chr1	1509048	1511048
chr1	1525421	1527421
chr1	1528373	1531878
chr1	1536280	1538280
chr1	1542172	1544172
chr1	1545085	1547667
chr1	1550905	1552905
chr1	1563530	1565530
chr1	1574671	1576671
